test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
1,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_clear_0_basic.dot,1,1,Constant,1.,1.
2,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_containsKey_0_basic.dot,2,2,Constant,2.,2.
3,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_containsValue_0_basic.dot,5,5,Exponential,12.11*2.^(0.25*n),3. + 12.11*2.^(0.25*n)
4,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_entrySet_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
5,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_get_0_basic.dot,1,1,Constant,1.,1.
6,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_getDynaBean_0_basic.dot,1,1,Constant,1.,1.
7,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_getDynaProperties_0_basic.dot,1,1,Constant,1.,1.
8,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_<init>_0_basic.dot,2,2,Constant,2.,2.
9,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_isEmpty_0_basic.dot,2,2,Constant,2.,2.
10,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_isReadOnly_0_basic.dot,1,1,Constant,1.,1.
11,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_keySet_0_basic.dot,4,5,Polynomial,1.*n,5. + 1.*n
12,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_put_0_basic.dot,2,2,Constant,2.,2.
13,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_putAll_0_basic.dot,3,3,Polynomial,0.5*n,3. + 0.5*n
14,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_remove_0_basic.dot,1,1,Constant,1.,1.
15,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_size_0_basic.dot,1,1,Constant,1.,1.
16,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_toString_0_basic.dot,2,2,Constant,2.,2.
17,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator_values_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
18,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_equals_0_basic.dot,6,6,Constant,6.,6.
19,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_getKey_0_basic.dot,1,1,Constant,1.,1.
20,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_getValue_0_basic.dot,1,1,Constant,1.,1.
21,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_hashCode_0_basic.dot,2,2,Constant,2.,2.
22,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_<init>_0_basic.dot,1,1,Constant,1.,1.
23,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BaseDynaBeanMapDecorator$MapEntry_setValue_0_basic.dot,1,1,Constant,1.,1.
24,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_contains_0_basic.dot,3,3,Constant,3.,3.
25,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_get_0_basic.dot,3,3,Constant,3.,3.
26,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getDynaClass_0_basic.dot,1,1,Constant,1.,1.
27,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getDynaProperty_0_basic.dot,2,2,Constant,2.,2.
28,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_getMap_0_basic.dot,2,2,Constant,2.,2.
29,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_<init>_0_basic.dot,1,1,Constant,1.,1.
30,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BasicDynaBean_isAssignable_0_basic.dot,18,512,Constant,512.,512.
