,graph,complexity
0,cfg.compute_number_width.dot,8
1,cfg.dev_info_compare.dot,-1
2,cfg.should_dereference.dot,3
3,cfg.target_directory_operand.dot,5
4,cfg.mpz_clear.dot,-1
5,cfg.print_entry.dot,15
6,cfg.gettext_quote.dot,4
7,cfg.head.dot,9
8,cfg.parse_sub_exp.dot,8
9,cfg.wc_file.dot,5
10,cfg.change_timestamps.dot,2
11,cfg.compare_occurs.dot,3
12,cfg.component_start.dot,2
13,cfg.change_file_context.dot,13
14,cfg.print_numbers.dot,13
15,cfg.rotr8.dot,-1
16,cfg.next_file_name.dot,13
17,cfg.transit_state_bkref.dot,34
18,cfg.check_punctuation.dot,3
19,cfg.ofile_open.dot,8
20,cfg.print_file_name_and_frills.dot,9
21,cfg.pop_fail_stack.dot,1
22,cfg.create_ci_newstate.dot,12
23,cfg.re_search_internal.dot,93
24,cfg.gcd2_odd.dot,12
25,cfg.build_type_arg.dot,5
26,cfg.get_input_fstatus.dot,8
27,cfg.check_node_accept_bytes.dot,47
28,cfg.rpl_regerror.dot,4
29,cfg.blake2b_init_param.dot,2
30,cfg.default_block_size.dot,-1
31,cfg.careadlinkat.dot,23
32,cfg.file_ignored.dot,7
33,cfg.es_match.dot,2
34,cfg.dir_name.dot,1
35,cfg.x2nrealloc.dot,3
36,cfg.set_line_length.dot,4
37,cfg.add_to_grand_total.dot,6
38,cfg.base64url_decode_ctx_init_wrapper.dot,-1
39,cfg.copy_with_unblock.dot,8
40,cfg.head_bytes.dot,7
41,cfg.diagnose_copy_fd_failure.dot,2
42,cfg.areadlink.dot,-1
43,cfg.re_string_translate_buffer.dot,3
44,cfg.decode_one_format.dot,39
45,cfg.interrupt_handler.dot,-1
46,cfg.check_subexp_matching_top.dot,7
47,cfg.parse_format_string.dot,28
48,cfg.xnanosleep.dot,6
49,cfg.xalloc.dot,1
50,cfg.sane_mode.dot,6
51,cfg.write_block.dot,9
52,cfg.any_non_remote_file.dot,5
53,cfg.install_file_in_dir.dot,3
54,cfg.mulredc.dot,2
55,cfg.add_epsilon_src_nodes.dot,6
56,cfg.rpl_fchmodat.dot,8
57,cfg.sha1_process_bytes.dot,9
58,cfg.mmalloca.dot,4
59,cfg.i_ring_empty.dot,-1
60,cfg.compare_files.dot,22
61,cfg.has_capability.dot,3
62,cfg.sort.dot,20
63,cfg.write_header.dot,-1
64,cfg.logical_getcwd.dot,13
65,cfg.quotearg_n_custom_mem.dot,-1
66,cfg.string_compare_ci.dot,-1
67,cfg.sha384_init_ctx.dot,-1
68,cfg.valid_escape_sequence.dot,12
69,cfg.adjust_value.dot,4
70,cfg.emit_backup_suffix_note.dot,-1
71,cfg.signal_setup.dot,8
72,cfg.digest_word_file.dot,7
73,cfg.out_int.dot,-1
74,cfg.sha224_buffer.dot,-1
75,cfg.df_readable.dot,5
76,cfg.print_long_entry.dot,11
77,cfg.free_spareline.dot,3
78,cfg.create_hard_link.dot,4
79,cfg.append_repeated_char.dot,1
80,cfg.queue_check_insert_parent.dot,3
81,cfg.open_input_files.dot,5
82,cfg.print_stats.dot,5
83,cfg.extract_regexp.dot,2
84,cfg.humblock.dot,14
85,cfg.operand_matches.dot,4
86,cfg.xlseek.dot,3
87,cfg.re_node_set_insert_last.dot,4
88,cfg.mbslen.dot,4
89,cfg.next_file.dot,8
90,cfg.add_field_list.dot,3
91,cfg.ino_map_alloc.dot,3
92,cfg.change_file_owner.dot,67
93,cfg.dtoastr.dot,7
94,cfg.delseq.dot,2
95,cfg.write_permuted_lines.dot,5
96,cfg.tac_nonseekable.dot,2
97,cfg.gid_to_name.dot,2
98,cfg.quotearg_style.dot,-1
99,cfg.out_minus_zero.dot,-1
100,cfg.dtotimespec.dot,4
101,cfg.hash_get_entries.dot,5
102,cfg.proper_name_utf8.dot,20
103,cfg.c_isascii.dot,68
104,cfg.reap_all.dot,2
105,cfg.dirent_inode_sort_may_be_useful.dot,4
106,cfg.docolon.dot,7
107,cfg.set_libstdbuf_options.dot,4
108,cfg.add_exclude_fp.dot,10
109,cfg.queue_check_insert.dot,7
110,cfg.sequential_sort.dot,8
111,cfg.any_live_files.dot,8
112,cfg.tailable_stdin.dot,5
113,cfg.find_field.dot,8
114,cfg.parse_tab_stops.dot,22
115,cfg.sortlines_thread.dot,-1
116,cfg.handle_line_error.dot,1
117,cfg.filevercmp.dot,21
118,cfg.out_file_context.dot,5
119,cfg.check_halt_state_context.dot,3
120,cfg.randint_all_new.dot,2
121,cfg.any_non_regular_fifo.dot,6
122,cfg.analyze.dot,19
123,cfg.print_white_space.dot,4
124,cfg.ignorable_sync_errno.dot,3
125,cfg.process_suffixed_number.dot,17
126,cfg.rev_strcmp_df_ctime.dot,6
127,cfg.mktime_z.dot,9
128,cfg.sha224_read_ctx.dot,2
129,cfg.fd_reopen.dot,3
130,cfg.filter_mount_list.dot,28
131,cfg.getoptnum.dot,-1
132,cfg.raw_comparator.dot,-1
133,cfg.freadptr.dot,3
134,cfg.component_len.dot,3
135,cfg.verror.dot,-1
136,cfg.print_named_ascii.dot,4
137,cfg.write_counts.dot,8
138,cfg.fwrite_uppcase.dot,2
139,cfg.extent_scan_init.dot,-1
140,cfg.close_file.dot,7
141,cfg.do_stdin.dot,3
142,cfg.rev_xstrcoll_df_ctime.dot,6
143,cfg.xdectoumax.dot,-1
144,cfg.safe_write.dot,7
145,cfg.factor_insert_large.dot,2
146,cfg.str_days.dot,8
