,file_name,graph_name,apc,cyclo,npath,apc_time,graph_size,exception,exception_type
0,/app/code/tests/cFiles/fse_2020_benchmark/05_parity_main.c,05_parity_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.41774606704711914,3.0,0.0,na
1,/app/code/tests/cFiles/fse_2020_benchmark/05_parity_main.c,05_parity_main_cfg._Z6parityi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.07647466659545898,3.0,0.0,na
2,/app/code/tests/cFiles/fse_2020_benchmark/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '1.0*n - 1.0')",4.0,4.0,0.4037964344024658,5.0,0.0,na
3,/app/code/tests/cFiles/fse_2020_benchmark/22_selectionsort_main.c,22_selectionsort_main_cfg._Z14selection_sortPii,"('1.8197**n', '-65.0341*0.6608**n + 18.3496*0.7039**n + 0.1502*0.953**n + 0.0964*0.9873**n - 11.6407*1.0189**n + 0.0337*1.1978**n + 0.0015*1.297**n + 0.0197*1.8197**n + 12.2847')",10.0,24.0,15.556021451950073,16.0,0.0,na
4,/app/code/tests/cFiles/fse_2020_benchmark/22_selectionsort_main.c,22_selectionsort_main_cfg.main,"('1.2207**n', '-1.0189*1.0633**n + 38.983*1.2207**n - 628.381')",39.0,1024.0,53.54286217689514,78.0,0.0,na
5,/app/code/tests/cFiles/fse_2020_benchmark/01_greatestof3_main.c,01_greatestof3_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.06994819641113281,3.0,0.0,na
6,/app/code/tests/cFiles/fse_2020_benchmark/01_greatestof3_main.c,01_greatestof3_main_cfg._Z11greatestof3iii,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.07929849624633789,3.0,0.0,na
7,/app/code/tests/cFiles/fse_2020_benchmark/50_check_sorted_or_reverse.c,50_check_sorted_or_reverse_cfg._Z20is_sorted_or_reversePii,"(n**2, '1.0*n**2 - 10.0*n + 28.0')",8.0,25.0,1.600229024887085,11.0,0.0,na
8,/app/code/tests/cFiles/fse_2020_benchmark/16_binary_search.c,16_binary_search_cfg._Z13binary_searchiPii,"('1.3532**n', '-0.3165*1.2157**n + 0.8165*1.3532**n - 1.0')",6.0,10.0,1.1828587055206299,9.0,0.0,na
9,/app/code/tests/cFiles/fse_2020_benchmark/12_check_sorted_array.c,12_check_sorted_array_cfg._Z9is_sortedPii,"(n, '1.0*n - 1.0')",4.0,4.0,0.2560446262359619,5.0,0.0,na
10,/app/code/tests/cFiles/fse_2020_benchmark/62_three_loops_w_break_main.c,62_three_loops_w_break_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.07172703742980957,3.0,0.0,na
11,/app/code/tests/cFiles/fse_2020_benchmark/62_three_loops_w_break_main.c,62_three_loops_w_break_main_cfg._Z11three_loopsiiii,"(n**3, '0.1667*n**3 - 3.0*n**2 + 19.8333*n - 44.0')",7.0,15.0,1.6038525104522705,12.0,0.0,na
12,/app/code/tests/cFiles/fse_2020_benchmark/63_three_loops_symbolic_bounds_main.c,63_three_loops_symbolic_bounds_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.07398724555969238,3.0,0.0,na
13,/app/code/tests/cFiles/fse_2020_benchmark/63_three_loops_symbolic_bounds_main.c,63_three_loops_symbolic_bounds_main_cfg._Z18three_loops_boundsiii,"(n**2, '0.5*n**2 - 4.5*n + 12.0')",7.0,9.0,1.8135895729064941,10.0,0.0,na
14,/app/code/tests/cFiles/fse_2020_benchmark/21_insertionsort.c,21_insertionsort_cfg._Z14insertion_sortPii,"('1.5129**n', '0.3051*1.5129**n')",5.0,8.0,1.2267382144927979,7.0,0.0,na
15,/app/code/tests/cFiles/fse_2020_benchmark/02_fib_main.c,02_fib_main_cfg._Z3fibi,"(n**2, '0.5*n**2 - 3.5*n + 9.0')",6.0,10.0,0.9557046890258789,8.0,0.0,na
16,/app/code/tests/cFiles/fse_2020_benchmark/02_fib_main.c,02_fib_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.06228160858154297,3.0,0.0,na
17,/app/code/tests/cFiles/fse_2020_benchmark/04_prime_main.c,04_prime_main_cfg.main,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.06815338134765625,3.0,0.0,na
18,/app/code/tests/cFiles/fse_2020_benchmark/04_prime_main.c,04_prime_main_cfg._Z11check_primei,"(n, '1.0*n - 1.0')",4.0,4.0,0.25781869888305664,5.0,0.0,na
19,/app/code/tests/cFiles/fse_2020_benchmark/20_bubblesort.c,20_bubblesort_cfg._Z11bubble_sortPll,"('1.8313**n', '-0.3336*0.6976**n + 0.0576*0.8103**n - 0.056*0.9367**n - 4.0416*1.0211**n - 0.0609*1.2381**n - 0.0016*1.2444**n + 0.0233*1.8313**n + 4.1013')",10.0,8.0,12.864223957061768,15.0,0.0,na
20,/app/code/tests/cFiles/fse_2020_benchmark/05_parity.c,05_parity_cfg._Z6parityi,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.08042049407958984,3.0,0.0,na
21,/app/code/tests/cFiles/fse_2020_benchmark/06_palindrome.c,06_palindrome_cfg._Z10palindromei,"(n, '1.0*n - 1.0')",3.0,3.0,0.21299409866333008,4.0,0.0,na
22,/app/code/tests/cFiles/fse_2020_benchmark/19_longest_common_increasing_subsequence.c,19_longest_common_increasing_subsequence_cfg._Z4LCISPiiS_i,"('1.6372**n', '0.1123*0.8365**n + 3.7832*0.8578**n + 0.4256*0.8838**n - 0.0777*1.1271**n + 0.0133*1.6372**n + 1.823*n - 10.1179')",16.0,210.0,15.528105020523071,24.0,0.0,na
23,/app/code/tests/cFiles/fse_2020_benchmark/31_sieve_of_eratosthenes_main.c,31_sieve_of_eratosthenes_main_cfg.main,"('1.618**n', '0.2764*1.618**n')",8.0,1.0,9.049546480178833,14.0,0.0,na
24,/app/code/tests/cFiles/fse_2020_benchmark/31_sieve_of_eratosthenes_main.c,31_sieve_of_eratosthenes_main_cfg._Z5sievePii,na,na,na,0.0,15.0,1.0,Other
25,/app/code/tests/cFiles/fse_2020_benchmark/11_array_max.c,11_array_max_cfg._Z15largest_elementPii,"(n**2, '0.5*n**2 - 3.5*n + 9.0')",6,9,0.780531644821167,8.0,0.0,na
26,/app/code/tests/cFiles/fse_2020_benchmark/16_binary_search_main.c,16_binary_search_main_cfg._Z13binary_searchiPii,"('1.3532**n', '-0.3165*1.2157**n + 0.8165*1.3532**n - 1.0')",6,10,0.9837331771850586,9.0,0.0,na
27,/app/code/tests/cFiles/fse_2020_benchmark/16_binary_search_main.c,16_binary_search_main_cfg.main,"('1.2207**n', '-0.2541*0.7245**n + 1.0633**n*(0.03 - 0.0737*I) + 1.0633**n*(0.03 + 0.0737*I) + 2.194*1.2207**n - 3.0')",4,6,0.9433164596557617,7.0,0.0,na
28,/app/code/tests/cFiles/fse_2020_benchmark/26_quicksort_main.c,26_quicksort_main_cfg.main,"('1.7838**n', '0.0329*1.7838**n')",11,60,74.94324398040771,21.0,0.0,na
