,file_name,graph_name,apc,cyclo,npath,apc_time,vertex_count,edge_count,exception,exception_type
3,/app/code/experiments/icse_experiment/files/01_greatestof3.c,01_greatestof3_cfg._Z11greatestof3iii,"(7.00000000000000, 7.00000000000000)",5,7,0.022896051,8,11,0,na
27,/app/code/experiments/icse_experiment/files/02_fib.c,02_fib_cfg._Z3fibi,"('1.1487**n', '1.6158*1.1487**n + 1.0')",3,3,0.389625549,8,9,0,na
2,/app/code/experiments/icse_experiment/files/03_sign.c,03_sign_cfg._Z4signi,"(3.00000000000000, 3.00000000000000)",3,3,0.016891479,6,7,0,na
0,/app/code/experiments/icse_experiment/files/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '0.5039*n + 1.125')",3,3,0.647059441,8,9,0,na
4,/app/code/experiments/icse_experiment/files/04_prime.c,04_prime_cfg._Z11check_primei,"(n, '0.5039*n + 1.125')",3,3,0.09061408,8,9,0,na
1,/app/code/experiments/icse_experiment/files/05_parity.c,05_parity_cfg._Z6parityi,"(2.00000000000000, 2.00000000000000)",2,2,0.011720896,4,4,0,na
22,/app/code/experiments/icse_experiment/files/06_palindrome.c,06_palindrome_cfg._Z10palindromei,"(n, '0.5*n + 0.5')",2,2,0.108469009,4,4,0,na
8,/app/code/experiments/icse_experiment/files/10_find_val_in_array.c,10_find_val_in_array_cfg._Z10find_firstiPii,"(n, '0.5039*n + 1.125')",3,3,0.08965826,8,9,0,na
13,/app/code/experiments/icse_experiment/files/11_array_max.c,11_array_max_cfg._Z15largest_elementPii,"('1.1673**n', '0.2991*1.099**n + 1.1477*1.1673**n + 1.0')",3,3,0.752423525,7,8,0,na
6,/app/code/experiments/icse_experiment/files/12_check_sorted_array.c,12_check_sorted_array_cfg._Z9is_sortedPii,"(n, '0.5039*n + 1.125')",3,3,0.091960907,8,9,0,na
7,/app/code/experiments/icse_experiment/files/13_check_arrays_equal.c,13_check_arrays_equal_cfg._Z12equal_arraysPiS_i,"(n, '0.5039*n + 1.125')",3,3,0.090999842,8,9,0,na
5,/app/code/experiments/icse_experiment/files/14_lexicographic_array_compare.c,14_lexicographic_array_compare_cfg._Z14compare_arraysPiS_i,"(n, '0.6667*1.0**n + 0.5*n + 0.3333')",4,4,0.327911854,11,13,0,na
9,/app/code/experiments/icse_experiment/files/15_check_heap_order.c,15_check_heap_order_cfg._Z13is_heap_orderPii,"(n, '0.6805*1.0**n + 0.6*n + 0.6')",4,4,0.313518763,9,11,0,na
15,/app/code/experiments/icse_experiment/files/16_binary_search.c,16_binary_search_cfg._Z13binary_searchiPii,"('1.2207**n', '0.1667*0.7245**n + 0.3103*1.0633**n + 0.8811*1.2207**n + 1.0')",5,5,0.831871033,13,16,0,na
18,/app/code/experiments/icse_experiment/files/17_edit_dist.c,17_edit_dist_cfg._Z16editDistArraysDPPiS_ii,"('1.2893**n', '0.1287*1.0051**n + 0.0519*1.0092**n + 0.0772*1.1234**n + 0.0974*1.1296**n + 0.0546*1.2001**n + 0.1076*1.2893**n + 0.857')",8,9,2.796683788,23,29,0,na
29,/app/code/experiments/icse_experiment/files/19_longest_common_increasing_subsequence.c,19_longest_common_increasing_subsequence_cfg._Z4LCISPiiS_i,"('1.3644**n', '281.755*0.6398**n + 0.1357*0.8422**n + 0.1679*1.0**n + 0.0994*1.0401**n + 0.0286*1.0682**n + 0.1949*1.099**n + 1.2877*1.1673**n + 0.0194*1.2337**n + 0.0592*1.3644**n + 0.2962*n + 1.3399')",10,66,7.233176708,27,35,0,na
16,/app/code/experiments/icse_experiment/files/20_bubblesort.c,20_bubblesort_cfg._Z11bubble_sortPll,"('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')",4,4,0.883776188,11,13,0,na
19,/app/code/experiments/icse_experiment/files/21_insertionsort.c,21_insertionsort_cfg._Z14insertion_sortPii,"('1.3484**n', '0.1906*0.8072**n + 0.6019*0.9003**n + 0.0832*1.185**n + 0.1436*1.3484**n + 0.3333')",4,5,1.152800798,10,12,0,na
17,/app/code/experiments/icse_experiment/files/22_selectionsort.c,22_selectionsort_cfg._Z14selection_sortPii,"('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')",4,4,0.3465271,11,13,0,na
21,/app/code/experiments/icse_experiment/files/23_mergesort.c,23_mergesort_cfg._Z9mergesortPii,"('1.4158**n', '0.1071*0.8829**n + 0.2102*0.9159**n + 0.205*0.9381**n + 0.0069*1.0915**n + 0.2852*1.0995**n + 0.0515*1.2034**n + 0.0011*1.2676**n + 0.0081*1.4158**n + 0.001*n**2 + 0.0641*n + 0.4321')",11,197,12.99882412,32,41,0,na
30,/app/code/experiments/icse_experiment/files/25_heapsort.c,25_heapsort_cfg._Z9heap_sortPij,"('1.4067**n', '0.1041*0.8485**n + 6.037*0.9107**n + 7.5342*1.0625**n + 6.8472*1.0744**n + 0.0204*1.0817**n + 0.0322*1.124**n + 0.0216*1.1432**n + 0.0331*1.1577**n + 0.0148*1.1662**n + 0.0134*1.23**n + 0.0138*1.2319**n + 0.0013*1.2597**n + 0.0015*1.2618**n + 0.0698*1.3956**n + 0.0792*1.4067**n + 31.2625')",20,4971,47.31797457,54,72,0,na
20,/app/code/experiments/icse_experiment/files/26_quicksort.c,26_quicksort_cfg._Z18quickSortIterativePiii,"('1.3559**n', '0.2021*1.0726**n + 0.381*1.0899**n + 0.1797*1.3559**n + 0.2')",6,13,1.514154911,14,18,0,na
14,/app/code/experiments/icse_experiment/files/30_euclid_GCD.c,30_euclid_GCD_cfg._Z3gcdii,"('1.1892**n', '2.0778*1.1892**n + 2.5477')",3,3,0.304009199,7,8,0,na
28,/app/code/experiments/icse_experiment/files/31_sieve_of_eratosthenes.c,31_sieve_of_eratosthenes_cfg._Z5sievePii,"('1.2207**n', '0.23*0.7245**n + 0.2918*1.0633**n + 0.7217*1.2207**n + 1.0')",5,8,1.332741737,15,18,0,na
26,/app/code/experiments/icse_experiment/files/32_newtons_method.c,32_newtons_method_cfg._Z11newton_rootffi,"('1.1225**n', '3.0837*1.1225**n + 3.0')",4,5,0.504337549,11,13,0,na
25,/app/code/experiments/icse_experiment/files/32_newtons_method.c,32_newtons_method_cfg._Z1ff,"(1.00000000000000, 1.00000000000000)",1,1,0.004177094,3,2,0,na
24,/app/code/experiments/icse_experiment/files/32_newtons_method.c,32_newtons_method_cfg._Z2dff,"(1.00000000000000, 1.00000000000000)",1,1,0.014223814,3,2,0,na
10,/app/code/experiments/icse_experiment/files/50_check_sorted_or_reverse.c,50_check_sorted_or_reverse_cfg._Z20is_sorted_or_reversePii,"(n**2, '0.25*n**2 + 1.5*n + 2.25')",6,18,0.808811426,15,19,0,na
23,/app/code/experiments/icse_experiment/files/51_variance.c,51_variance_cfg._Z8variancePdi,"(n**2, '0.1283*1.0**n*n + 0.0741*1.0**n + 0.0556*n**2 + 0.0556*n + 0.0741')",3,4,0.606947899,9,10,0,na
12,/app/code/experiments/icse_experiment/files/62_three_loops_w_break.c,62_three_loops_w_break_cfg._Z11three_loopsiiii,"(n**3, '0.0208*n**3 + 0.1875*n**2 + 0.4792*n + 0.3125')",7,27,1.952315569,19,24,0,na
11,/app/code/experiments/icse_experiment/files/63_three_loops_symbolic_bounds.c,63_three_loops_symbolic_bounds_cfg._Z18three_loops_boundsiii,"(n**3, '0.0214*1.0**n*n**2 + 0.0445*1.0**n*n + 0.0377*1.0**n + 0.0062*n**3 + 0.0185*n**2 + 0.0247*n + 0.037')",4,8,1.464102268,13,15,0,na
