,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.checks.LeftCurlyCheck:verifyBrace,"(50.0000000000000, 50.0000000000000)",15.0,50.0
1,com.puppycrawl.tools.checkstyle.checks.WhitespaceAroundCheck:visitToken,"(479.000000000000, 479.000000000000)",18.0,479.0
2,com.puppycrawl.tools.checkstyle.checks.InnerAssignmentCheck:visitToken,"(216.000000000000, 216.000000000000)",11.0,216.0
3,com.puppycrawl.tools.checkstyle.PropertyCacheFile:PropertyCacheFile,"(31.0000000000000, 31.0000000000000)",16.0,31.0
4,com.puppycrawl.tools.checkstyle.checks.ParenPadCheck:processRight,"(71.0000000000000, 71.0000000000000)",13.0,71.0
5,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheck:visitToken,"(68.0000000000000, 68.0000000000000)",14.0,68.0
6,com.puppycrawl.tools.checkstyle.checks.WhitespaceAfterCheck:visitToken,"(30.0000000000000, 30.0000000000000)",11.0,30.0
7,com.puppycrawl.tools.checkstyle.XMLLogger:isReference,"(n, '0.3849*1.0**n + 0.6667*n + 2.3333')",9.0,9.0
8,com.puppycrawl.tools.checkstyle.api.AutomaticBean:configure,"(n**2, '0.0887*n**2 + 0.9436*n + 15.067')",10.0,11.0
9,com.puppycrawl.tools.checkstyle.Main:main,"(n**2, '58.5*n**2 + 2130.0*n + 19673.0')",17.0,2809.0
10,com.puppycrawl.tools.checkstyle.checks.ConstantNameCheck:mustCheckName,"(99.0000000000000, 99.0000000000000)",10.0,99.0
11,com.puppycrawl.tools.checkstyle.checks.RightCurlyCheck:visitToken,"(36.0000000000000, 36.0000000000000)",10.0,36.0
12,com.puppycrawl.tools.checkstyle.checks.EmptyBlockCheck:hasText,"(n, '0.3849*1.0**n + 0.6667*n + 0.3333')",8.0,8.0
13,com.puppycrawl.tools.checkstyle.checks.LeftCurlyCheck:visitToken,"(21.0000000000000, 21.0000000000000)",9.0,21.0
14,com.puppycrawl.tools.checkstyle.ConfigurationLoader:parsePropertyString,"('1.4307**n', '0.0281*1.002**n + 0.1623*1.1491**n + 0.0804*1.2577**n + 0.2256*1.4307**n + 0.5712')",8.0,20.0
15,com.puppycrawl.tools.checkstyle.checks.ClassResolver:resolve,"('1.2207**n', '0.1947*0.7245**n*n + 2.6134*0.7245**n + 0.0333*1.0633**n*n + 0.8665*1.0633**n + 0.2346*1.2207**n*n + 1.1264*1.2207**n + 1.0002')",11.0,35.0
16,com.puppycrawl.tools.checkstyle.checks.StaticVariableNameCheck:mustCheckName,"(36.0000000000000, 36.0000000000000)",8.0,36.0
17,com.puppycrawl.tools.checkstyle.checks.NoWhitespaceAfterCheck:visitToken,"('1.1673**n', '1.0539*1.099**n + 5.8073*1.1673**n + 15.0')",8.0,33.0
18,com.puppycrawl.tools.checkstyle.PropertyCacheFile:destroy,"(10.0000000000000, 10.0000000000000)",10.0,10.0
19,com.puppycrawl.tools.checkstyle.XMLLogger:encode,"('1.5916**n', '0.3189*0.6396**n + 0.1128*1.4257**n + 0.0274*1.5111**n + 0.0965*1.5916**n + 0.1424')",9.0,9.0
20,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:checkParamTags,"('1.379**n', '0.2119*0.824**n + 0.1163*0.8408**n + 0.2581*0.9934**n + 0.0392*1.2372**n + 0.1669*1.379**n + 0.0002*n + 0.4973')",7.0,16.0
21,com.puppycrawl.tools.checkstyle.checks.EqualsHashCodeCheck:visitToken,"(26.0000000000000, 26.0000000000000)",10.0,26.0
22,com.puppycrawl.tools.checkstyle.api.AbstractFileSetCheck:filter,"('1.3532**n', '0.054*1.2157**n + 0.0517*1.3532**n + 2.6')",6.0,6.0
23,com.puppycrawl.tools.checkstyle.api.LocalizedMessage:compareTo,"(5.00000000000000, 5.00000000000000)",5.0,5.0
24,com.puppycrawl.tools.checkstyle.checks.RedundantImportCheck:visitToken,"('1.2207**n', '0.5174*0.7245**n + 0.4569*1.0633**n + 0.9162*1.2207**n + 2.0')",6.0,10.0
25,com.puppycrawl.tools.checkstyle.api.LocalizedMessage:equals,"(6.00000000000000, 6.00000000000000)",6.0,6.0
