,graph_name,apc,cyclo,npath
0,com.puppycrawl.tools.checkstyle.checks.indentation.InputValidIfIndent:populatedIfTest,"(147456.000000000, 147456.000000000)",19.0,147456.0
1,com.puppycrawl.tools.checkstyle.checks.indentation.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
2,com.google.checkstyle.test.chapter4formatting.rule4861blockcommentstyle.InputCommentsIndentationInSwitchBlock:fooSwitch,"(450.000000000000, 450.000000000000)",54.0,450.0
3,com.puppycrawl.tools.checkstyle.checks.coding.InputFinalLocalVariableAssignedMultipleTimes:foo11,"('1.2207**n', '0.784*1.0633**n + 39.6838*1.2207**n + 9611.3485')",39.0,37242.0
4,com.puppycrawl.tools.checkstyle.checks.indentation.InputInvalidIfIndent:populatedIfTest,"(17408.0000000000, 17408.0000000000)",16.0,17408.0
5,com.puppycrawl.tools.checkstyle.checks.coding.RequireThisCheck:getClassFrameWhereViolationIsFound,"(247.000000000000, 247.000000000000)",33.0,247.0
6,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
7,com.puppycrawl.tools.checkstyle.Main:main,"(n, '6.0*n + 30.0')",20.0,60
8,com.puppycrawl.tools.checkstyle.checks.coding.InputFallThrough:method,"('3.5348**n', '0.0172*3.0792**n + 0.3092*3.5348**n')",38.0,"('NA', 'Timeout')"
9,com.puppycrawl.tools.checkstyle.checks.coding.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
10,com.google.checkstyle.test.chapter4formatting.rule4842fallthrough.InputFallThrough:methodFallThru,"('3.7123**n', '0.0104*3.2084**n + 0.226*3.7123**n')",41.0,"('NA', 'Timeout')"
11,com.puppycrawl.tools.checkstyle.checks.SuppressWarningsHolder:isSuppressed,"('1.5064**n', '0.023*1.0353**n + 0.0331*1.0812**n + 0.0417*1.1209**n + 0.0491*1.1318**n + 0.0361*1.1337**n + 0.0356*1.135**n + 0.0367*1.142**n + 0.0349*1.1436**n + 0.0531*1.3519**n + 0.0597*1.4702**n + 0.037*1.5064**n + 0.3889')",17.0,901
12,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck:updateUninitializedVariables,"('1.5108**n', '2.8048*0.7002**n + 20.4706*0.7443**n + 0.6627*0.8237**n + 0.288*0.8424**n + 7.9179*0.9697**n + 0.064*1.0967**n + 0.0001*1.0981**n + 0.1483*1.1882**n + 0.048*1.1925**n + 0.0138*1.5108**n + 7.0173')",14.0,110
13,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:isNotRelevantSituation,"(1620.00000000000, 1620.00000000000)",16.0,1620
14,com.puppycrawl.tools.checkstyle.checks.imports.ImportOrderCheck:visitToken,"(144.000000000000, 144.000000000000)",13.0,144
15,com.puppycrawl.tools.checkstyle.checks.coding.InputFallThrough2:test,"(88.0000000000000, 88.0000000000000)",21.0,88
16,com.puppycrawl.tools.checkstyle.Main:validateCli,"(50.0000000000000, 50.0000000000000)",18.0,50
17,com.google.checkstyle.test.chapter5naming.rule527localvariablenames.InputOneCharInitVarName:fooMethod,"(0, 0)",13.0,4096
18,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck:visitToken,"(21.0000000000000, 21.0000000000000)",21.0,21
19,com.puppycrawl.tools.checkstyle.checks.coding.InputFinalLocalVariableAssignedMultipleTimes:foo13,"(21.0000000000000, 21.0000000000000)",13.0,21
20,com.puppycrawl.tools.checkstyle.checks.indentation.InputInvalidForIndent:method1,"('1.2207**n', '42.8487*1.0633**n + 7.0661*1.2207**n + 0.0001*n**8 + 0.0065*n**7 + 0.2698*n**6 + 5.6087*n**5 + 46.5763*n**4 + 6.3588*n**3 + 0.5098*n**2 + 0.1475*n + 0.0015')",12.0,1536
21,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:checkThrowsTags,"('1.4542**n', '242.8291*0.7245**n + 0.1431*0.9142**n + 0.2194*0.9165**n + 0.0454*1.043**n + 0.0928*1.0633**n + 0.0559*1.0795**n + 0.0955*1.1354**n + 0.1549*1.2131**n + 0.1668*1.2204**n + 0.1035*1.2207**n + 0.1674*1.4542**n + 0.0028')",14.0,160
22,com.puppycrawl.tools.checkstyle.grammars.InputRegressionJavaClass1:instructions,"(0, 0)",33.0,724
23,com.puppycrawl.tools.checkstyle.checks.indentation.InputValidForIndent:method1,"(n**8, '0.0012*n**8 + 0.0124*n**7 + 0.0013*n**6 + 0.0001*n**5')",15.0,12288
24,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:validateCheckSection,"('1.6799**n', '18.4816*0.8497**n + 0.167*0.9852**n + 0.1148*1.0601**n + 0.0818*1.2982**n + 0.0515*1.4036**n + 0.0896*1.4956**n + 0.0619*1.6799**n + 0.1417')",16.0,150
25,com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck:calculateDistanceInSingleScope,"('1.3049**n', '0.025*1.0754**n + 0.4839*1.1651**n + 0.1767*1.1755**n + 0.0208*1.1888**n + 0.6033*1.3049**n + 0.7488')",13.0,24
26,com.puppycrawl.tools.checkstyle.checks.blocks.InputLeftCurlyLineBreakAfter:foo,"(n**4, '0.0625*n**4 + 2.2917*n**3 + 32.0*n**2 + 201.8333*n + 487.0')",12.0,98
27,com.puppycrawl.tools.checkstyle.checks.blocks.InputRightCurlyLineBreakBefore:foo,"(n**4, '0.0625*n**4 + 2.2917*n**3 + 32.0*n**2 + 201.8333*n + 487.0')",12.0,98
28,com.puppycrawl.tools.checkstyle.internal.XDocsPagesTest:getCheckPropertyExpectedTypeName,"(30.0000000000000, 30.0000000000000)",14.0,30
29,com.puppycrawl.tools.checkstyle.checks.header.RegexpHeaderCheck:processFiltered,"('1.3338**n', '467.3772*0.5327**n + 1.5218*0.9273**n + 0.0634*1.1005**n + 0.2138*1.1624**n + 0.2149*1.3338**n + 1.666')",11.0,35
30,com.puppycrawl.tools.checkstyle.checks.imports.RedundantImportCheck:visitToken,"('1.2207**n', '3.5144*0.7245**n + 0.2203*1.0633**n + 1.3259*1.2207**n + 4.0')",10.0,16
31,com.puppycrawl.tools.checkstyle.checks.whitespace.InputForWhitespace:method1,"(n**6, '0.0001*n**6 + 0.0025*n**5 + 0.0342*n**4 + 0.2525*n**3 + 0.875*n**2 + 0.8103*n + 0.1569')",8.0,128
32,com.puppycrawl.tools.checkstyle.grammars.InputJava7TryWithResources:main,"(15.0000000000000, 15.0000000000000)",15.0,15
