,file_name,graph_name,graph_name_clean,apc,rapc,brapc,cyclo,npath,apc_time,rapc_time,brapc_time,num_vertices,edge_count,exception,exception_type
4,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z13ackermann_recii,ackermann_recii,"(3.00000000000000, 3.00000000000000)","(1.35025405883789**n, 1.35025405883789**n)","('2.2695**n', '0.1211*2.2695**n')",3,3,0.005520821,0.492205858,0.216249704,6,7,,na
18,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z18binary_search_iterPiii,binary_search_iterPiii,"('1.1487**n', '2.3564*1.1487**n + 2.0')","(2.0**(0.2*n), 2**(n/5)*(0.0147154820210295 - 0.0351987768463507*I) + 2**(n/5)*(0.155347204341861 - 0.0264997085045692*I) + 2**(n/5)*(1.65987462727422 + 1.29246970711411e-26*I) + 2**(n/5)*(0.155347204341861 + 0.0264997085045692*I) + 2**(n/5)*(0.0147154820210295 + 0.0351987768463507*I) - 2.0 - 1.28963045929598e-46*I)","('1.1487**n', '2.3564*1.1487**n + 2.0')",4,4,0.09815836,201.1502864,0.27092886,10,12,,na
5,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z17binary_search_recPiii,binary_search_recPiii,"(4.00000000000000, 4.00000000000000)","(2.0**(0.2*n), 2**(n/5)*(0.0840935032495789 - 0.160306726096732*I) + 2**(n/5)*(-0.0374411301751847 - 0.0227750875980178*I) + 2**(n/5)*(1.90669525385121 + 1.48465782644547e-26*I) + 2**(n/5)*(-0.0374411301751847 + 0.0227750875980178*I) + 2**(n/5)*(0.0840935032495789 + 0.160306726096732*I) - 2.0 - 1.05266558545919e-46*I)","('2.2447**n', '0.0659*2.2447**n')",4,4,0.012060881,201.0751619,0.385619402,8,10,,na
2,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z11bubble_sortPii,bubble_sortPii,"('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')","(0.154694083785227*1.26716804504395**n, 0.49999903823278*1.0**n + 1.0419**n*(-0.0355900507255436 - 0.0592864645755534*I) + 1.0419**n*(-0.0355900507255436 + 0.0592864645755534*I) + 1.2058**n*(0.0207407566436702 - 0.0356139543987818*I) + 1.2058**n*(0.0207407566436702 + 0.0356139543987818*I) + 0.154694083785227*1.2672**n)","('1.2672**n', '0.1441*1.0419**n + 0.0994*1.2058**n + 0.196*1.2672**n + 0.5')",4,4,0.223091841,1.853034973,0.543971062,11,13,,na
25,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z16dot_product_iterPiS_i,dot_product_iterPiS_i,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.039915562,0.600553989,0.081211567,5,5,,na
12,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z9fact_iteri,fact_iteri,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.044211864,0.612970829,0.086817265,5,5,,na
16,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z8fact_reci,fact_reci,"(2.00000000000000, 2.00000000000000)","(0.333333333333333*n, n/3)","('1.9144**n', '31.6056*0.6168**n + 0.5551*1.3731**n + 0.2307*1.9144**n')",2,2,0.00411582,0.497755766,0.103409052,4,4,,na
27,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z8fib_iteri,fib_iteri,"(n, '0.3333*n')","(0.333333333333333*n, n/3)","(n, '0.3333*n')",2,2,0.042886496,0.697511435,0.08891654,5,5,,na
15,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z7fib_reci,fib_reci,"(2.00000000000000, 2.00000000000000)","(1.25992202758789**n, 1.25992202758789**n)","('1.9144**n', '31.6056*0.6168**n + 0.5551*1.3731**n + 0.2307*1.9144**n')",2,2,0.003638029,0.18265748,0.139151573,4,4,,na
9,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z13insertionSortPii,insertionSortPii,"('1.3484**n', '0.1906*0.8072**n + 0.6019*0.9003**n + 0.0832*1.185**n + 0.1436*1.3484**n + 0.3333')","(0.106457485438837*1.34844779968262**n, 0.80721**n*(-0.100589311346375 - 0.0626361477930866*I) + 0.80721**n*(-0.100589311346375 + 0.0626361477930866*I) + 0.90031**n*(-0.151037414703583 - 0.298223116274472*I) + 0.90031**n*(-0.151037414703583 + 0.298223116274472*I) + 0.333559697323226*1.0**n + 1.185**n*(0.0314086412760119 - 0.0161522361192947*I) + 1.185**n*(0.0314086412760119 + 0.0161522361192947*I) + 0.106457485438837*1.3484**n)","('1.3484**n', '0.1906*0.8072**n + 0.6019*0.9003**n + 0.0832*1.185**n + 0.1436*1.3484**n + 0.3333')",4,5,0.270501137,3.020419836,0.719250679,10,12,,na
24,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z18linear_search_iterPiii,linear_search_iterPiii,"(n, '0.5039*n + 1.125')","(0.5*n, n/2 - 1)","(n, '0.5039*n + 1.125')",3,3,0.042476416,0.437826395,0.069905043,8,9,,na
11,/app/code/experiments/recursion/files/example_apc_functions.c,example_apc_functions_cfg._Z17linear_search_recPiii,linear_search_recPiii,"(3.00000000000000, 3.00000000000000)","(0.5*n, n/2)","('1.8885**n', '0.1342*1.8885**n')",3,3,0.009270906,0.437583685,0.345633745,6,7,,na
